,pais,comentario,longitud,entropia
385,Canada,Used to be a great app. Now there are ads every 3 photos. Kills data for irrelevant video ads,93,3.9740879695538656
386,India,Simply awesome \nAmazed with level of details and direction,59,4.149072287709401
387,Hong Kong,People use instagram to get famous,34,3.7748395917476727
388,India,User friendly,13,3.3927474104487847
389,India,Very helpful in a regular life and to improve knowledge & Ideas,63,4.125169791942758
390,Singapore,Very useful on the roads. Cheers,32,3.7897170014624826
391,United States,This app is awesome,19,3.326360407952695
392,United Kingdom,The best navigation I've used by far,36,4.0514621540398
393,Hong Kong,"apps, ！",7,2.5216406363433186
394,Singapore,The new update is ridiculous. It is way spamming too much ads.,62,4.130850080311048
395,United Kingdom,"Hi there its been always a pleasure to use this app until it just stopped working. I put navigation to always on my settings, on/off the phone all the time but no result. My service provider suggested to write a review and see what you've got to offer. I use iPhone 6 if it matters Many thanks",293,4.214492308267687
396,United States,"I JUST got the update and surprise, surprise the app still doesn't work. Social network wise, IG is cool. Their app however is the worst.",137,4.255945499747787
397,United States,The app will not let me upload multiple photos without it freezing or crashing. Been trying to upload photos to my album for the past 2 days and no luck. PLEASE FIX!,165,4.433584376728941
398,Canada,This app is supplier super cool I love it!!❤️❤️,47,3.9402419797430146
399,United States,excellent!,10,2.6464393446710157
400,Singapore,Unable to search for keywords in chats. Search now only does contacts names and not words in chats! Pls fix it,110,4.092114378265474
401,South Africa,"Whatever happened to the like button?\n\nI can spend hours and hours on this app without realizing how long i've been browsing, being inspired, getting ideas. The best thing is that there is everything that one can look for even hairstyles for my afro. When i need a photo of something, i no longer google it rather pin!?????????????\n\nWhat",341,4.279110923069344
402,United States,"Dear Mark Zuckerberg, what happened with Facebook being cool, your app is now full of adds. Remove them please",110,4.41002920438717
403,Australia,"I could handle it when they took away the option to show most recent first, I mean who wants to see a post from three days ago, seriously? Maybe I have OCD I don't know but I like my stuff in order. \nAnyways easy fix, you just find it in the sidebar. Tap. Off you go. \nUnless you accidentally do the tiniest swipe and you're back to that start but that's another matter. \nBut now they've removed the sidebar and make you stuff around down the bottom til you find the Most Recent icon and reset your whole feed every time you check your notifications. \nNot digging it.",571,4.355216557611157
404,Hong Kong,d  �,4,1.5
405,United States,Minimal issues. User friendly.,30,3.789898095464287
406,Canada,It's fine.,10,3.321928094887362
407,India,Please introduce dark mode and also feature to lock chats,57,3.8648537772397358
408,United Kingdom,"I previously gave a review stating that this app had become unreliable. Actually it was the gps sensor in my iPhone which was at fault. So, updated to say this app is great especially the community driven road updates and reliable maps.",236,4.221166046741667
409,Singapore,The app is lag on iPhone 6s Plus.,33,3.759352544917039
410,India,Nothing could be as good as this! Productive app!,49,4.117075599518185
411,United Kingdom,please make a multiple calls pleaseee ??,40,3.3184539577019216
412,Australia,A lot of my friends with iPhones have an expanded choice of  background colours unfortunately I don't �,103,4.295547984883453
413,Canada,Great in rush hour to avoid the big tie ups,43,3.744781905311443
414,United Kingdom,On the old school instagram i had no problems at all and everything was running fine but as youve added more and more things it starts having this glitch where im unfollowing people?! Can you please make one big update that fixes all the reported bugs please!,259,4.1951290755542265
415,United States,Great app. Gets better. Need more accurate routes,49,3.6289909676632126
416,United States,Awesome,7,2.5216406363433186
417,Singapore,THERE IS A HUGE PROBLEM! I can't see some of my contact's Profile Pic. I can see it on my friend's phone but no image on my phone. Why?,135,4.553063680936391
418,South Africa,My go-to app to share images taken on my journey through life. Instagram stories is a great tool to show people what I'm up to. I love the explore section and the collections feature is a great way to save and curate the content that I like on thhe platform.,258,4.122677264087272
419,Canada,Best route app!!,16,3.375
420,United Kingdom,"Szybki update, czytelna, bardzo pomocna i bardziej aktualna od navi np z Google czy Apple",89,4.243145617905663
421,Singapore,Simple to use... and accurate too,33,3.8509372107143887
422,Australia,"Great way finding. Updates to keep up with traffic and usually finds the fastest way between A and B as long as you don't mind using a lot of backstreets. It doesn't always avoid all delays (eg, train crossing wasn't working and had to wait for 20 minutes instead of retorting) so that's why it's only 4 instead of 5.",317,4.286672649583363
423,Australia,Hi so I love your app because it is like a magica path to wonder and helps it is just tremendous,96,4.070044633239233
424,Australia,"I've always loved this app and still love its purpose but it's userbility after the latest update is driving me insane!!! It's riddled with bugs. I have to add my phone number, create my username and update the settings almost every time I log in. NOOOO I do not want the pics saved to my camera roll!!!! I think I'll have to delete the app. I can't take it anymore",365,4.2682330002448055
425,United Kingdom,I love this app because I can talk to my friends and family ?,61,4.104672930169797
426,United States,Keeps good tract of my calories and exercise - also lets me what I will weigh down the road,91,4.026718960405258
427,Canada,I really loved this app.,24,3.8035088547976788
428,India,Good app,8,2.5
429,India,"I'm not able to log in into my account after the new update! It was working fine until I updated the app! Whenever I try to log in, it shows that there's a problem with your request! Can you guys please fix this?",212,4.27707492996817
430,Singapore,how come nowadays my newsfeed keep showing stuffs and news that are few days ago instead of the latest one ?! it's quite annoying..,131,4.082082194762487
431,India,Yes awesome... But some time phone hang... What the reason ... Don't know...some time blocking for friendship request is not justify...,135,4.233807385568253
432,Singapore,every time i try to scroll through a page in facebook the app crashes!!!!!,74,4.063170214668472
433,South Africa,"So sad. If I open the app, it closes itself after 30 seconds. ? do i can't use my fitbit",88,4.142341765499055
434,United States,I love the new changes. It makes it easier to tag someone and edit.,67,3.8392339626124734
435,United States,Driver friendly that beats other navigation programs. Love it.,62,4.093579432382178
436,United Kingdom,Really helpful hints and ideas. Thanks!,39,3.9872178475009483
437,Australia,Love it,7,2.8073549220576046
438,United Kingdom,"Well I'm not the sort to write a review, but, I'll tell you what, I love myself some instagram, hands down my favourite social media app ever !! 4 ever !!",154,4.252616279377773
439,Singapore,Why emoji cannot at the center of my message. I read all the groups they sending emoji can at the center.,105,3.9994096302022646
440,United Kingdom,Amazing improvement on this app since I first downloaded it years back. Great alternative to Skype & FaceTime. Very convenient all in one communication tool. Great stuff,169,4.334722832208795
441,India,Vry gd app,10,2.9219280948873623
442,Australia,It asked me to rate it so I'm rating it�,40,3.6143340317924078
443,Hong Kong,Can't use after updated!,24,3.625814583693912
444,Hong Kong,Post， Post，Debug App,20,3.621928094887362
445,Canada,Easy to use and reliable. The pothole and police alerts are great!,66,3.9747110095252034
446,Singapore,Recent after update.  I keep have no notification only when I on the apps. Then all the message come.  Please revert on this. \n\nNot sure is bug issue or.   I have friend having the same issue.,194,4.149132139778082
447,Canada,Good support system for my health,33,3.7983512260625822
448,United States,Down 3 pounds after using this app for one week. Love how easy it is to use and how it helps to keep me accountable for what I put in my mouth.,143,4.140946001466366
449,Canada,"I just love opening IG and seeing the exact same posts I saw 8 hours ago. ? Everyone misses the chronological timeline, so please bring it back.",144,4.265834373156959
450,South Africa,Love it and everything about it. Please allow us to at least save our own pics!,79,4.038693529410119
451,Hong Kong,"When I go to public pages, the app is closed and go back to iPhone main page. I can only see the page with Safari instead of Facebook app. It happened couple of months. Please fix it ASAP",187,4.254707209544843
452,Canada,I'm at almost a gig on this phone for this stupid app. It doesn't even say what it's updating just updates every couple weeks. I've got better things to use my space for,169,4.180971394756954
453,Australia,"PLEASE STOP THE VIDEOS FROM AUTO-PLAYING !  \n\nIt's very off-putting (I find) - to be looking through the items, and videos are playing all over the place.\n\nAnd anyone else who feels the same- please copy and paste this message \n\n❤️Love the app apart from that",265,4.798388757521592
454,Singapore,"Very useful for communication especially old friends or family members. But most of people are use for religious and political, that things I don't like it. Whatever, it's most of the best social media ever",206,4.249223595616099
455,South Africa,So very useful! I waited too long to get this app and now I'm hooked!,69,4.155090944253959
456,Hong Kong,I STILL CANNOT GET THE WEEKDAY STICKERS !! Can you fix this bugs ???,68,4.5235724398773725
457,India,There's a problem with the update dated 16 may 2017 please fix it's loading too much,84,4.337050054309291
458,Canada,I like many of the ideas and functionality of Pinterest. My complaint is that they don't have a clear way of saying show less of a certain type of image.,153,4.127988260155747
459,Canada,How come I'm not getting sound on any of the videos anymore? :/,63,4.090075907792279
460,Australia,I wonder can u add use voice to report things? Cuz type by hand when driving is so dangerous,92,4.091824288980281
461,India,Nice app,8,2.75
462,Hong Kong,Ig story  day of the week  。。。。,31,3.575006390962247
463,Canada,good good !,11,2.186704345910025
464,Hong Kong,Great app to share your life with others!!!,43,3.8292639532356536
465,United Kingdom,Don't like the loss of the Messenger icon from the Facebook screen. Screen freezes in the middle of a post. This is not an improvement.,135,4.107203130062941
466,Australia,Makes sharing photos really easy. You can use filters and add captions to your photos.,86,4.0796779829250704
467,South Africa,"Waze is a super initiative! It really helps you in traffic and for that you also need to thank all your participating Wazers! With Waze I don't need another Gps, the navigation is really very good! For that I thank the Wazer Team! I use Waze every day either for assistance for myself or to make life easier for my fellow Wazers! Thank you for the initiative & all the hard work in the background!",397,4.264778981617588
468,Hong Kong,Too much advertising,20,4.021928094887362
469,Canada,Excellent App...one can find the calorie count on any food. Very pleased with theApp.,85,4.140098174521866
470,United States,It's the best app for traffic.  Ty,34,3.840216607233672
471,Hong Kong,It make the Facebook app so slow.,33,3.8013774524295485
472,Canada,Facebook is awesome but I can't get in,38,3.8817131197358585
473,Australia,"It’s an awesome app, as it is easy to use, help you get a real followers, to be smart, elegant and different to  use this app. To change your social media life. Works wonderfully! They deliver the insta likes fast and you can complete offers to get more",253,4.199474359013785
474,Australia,Great app but would prefer my stream to be kept chronological and less ads. Stories is bull.,92,4.174885868724235
475,United Kingdom,Awesome app really. Nothing to say,34,4.0323362829877745
476,Singapore,It froze and won't update. What's wrong?,40,4.127567157116928
477,United States,"Until we have the option to use the location services on this app set to while in use, I'll leave it uninstalled. It's ridiculous to have this apps location services set to always",179,3.9599472601443626
478,United Kingdom,Pinterest is great for searching for ideas you know you want to look at but the feed page of pins from whom you follow is just awful these days. It rarely shows me anything I want to see and it has removed the caption underneath pins to say who pinned it. Devs: bring that feature back asap! If you can keep it for promoted pins (i.e. sh*t I don't want to see) you can keep it for the pinners I do want to see.,410,4.209622300268524
479,United Kingdom,Really good app to share funny and fun things,45,3.928196919071891
480,United Kingdom,"There have been a lot of changes lately that have made me no longer really use the app. My feed no longer shows who has pinned what. There are too many ads. And to top it off you got rid of the ❤ option, which means you also got rid of the liked section where I had loads of pins waiting until I had the time to put them in boards. Sad to say I don't like the app any more and will be deleting it if things don't improve ☹️",423,4.172724341920547
481,United Kingdom,"Jesus Christ is the only Way, Truth and Life ?",46,4.098586412108433
482,Australia,"Older version is way better, this app keep crashing each time I open it!..\n\nThis app keep getting worse from each update!",123,4.289326328282143
483,Hong Kong,hahahahahahahahahahahahahahaha,30,1.0
484,Canada,EVERYTIME I TRY SENDING AN IMAGE ON DMS IT CRASHES AND I OPEN IT AGAIN IT CRASHES I ALWAYS HVE TO UNINSTALL THE APP AND INSTALL IT AGAIN BS FIX THIS,148,3.8824585390920654
485,United States,Pinterest is my own organized filing cabinet.  Love it!,55,4.105814660462456
486,India,Useless updates,15,3.0565647621309537
487,United States,"The app automatically updated and now I can't get into my account it only works online for me ??‍♂️ it keeps saying Sorry, there was a problem with your request like whaaat tf ?? Ig mad trippin yo.",197,4.359053207949014
488,United States,Easily the best fitness tracker.,32,3.8125
489,United States,"Best way to save and organize stuff you like, think is funny, want to go back to, share, etc.",93,4.153474402759254
490,India,features not for older version of iOS. you should have mentioned it�,68,4.017980749072877
491,India,i can't able to receive notifications until i open my app?zzz fix the problem soon...!,86,4.1862061752262765
492,Australia,Instagram has lost its main focus that made the app great. Stories and albums now? Stop trying to make Instagram something it's not. Also how about an iPad app. This service is getting more annoying than ever.,209,4.224990293952343
493,Canada,Please.,7,2.5216406363433186
494,Singapore,"What's with the sudden spamming of ads on my newsfeed??? Before I updated it only shows 1-3 per day which is fine, but after the stupid update the ads keep appearing EVERY TIME I REFRESH WTF?!?!? It's so annoying pls fix this.",226,4.624095461586037
495,India,In current version we can only mute the status. Developers please add a option wherein we can block the status of a particular person without blocking his or her contact. Because mute doesn't hide the status.,208,4.143555309821662
496,Australia,Teaching me lots of back routes I would never have found! Fantastic!!!,70,4.285747784592091
497,India,Fix this problem ..\nI don't seen who are seen my status,56,4.144969494739732
498,United States,Will NOT share to Facebook! �,29,4.086790375244805
499,United Kingdom,"Have enjoyed this app, but frustrated to share to my Facebook business page. It appears to allow only one admin - we have 3. Therefore my shares go to my personal page which is not what I want. Frustrating ?",207,4.308484534479711
500,United States,Great ?,7,2.8073549220576046
501,United Kingdom,"Accurate and reliable, also very well designed.",47,4.016702150879894
502,Canada,"Love this app, other then it's tendency to direct me to the roads that are empty for a reason. It has directed me to a road that has ended up being closed a couple times and just yesterday directed me to a road that was flooded. Perhaps if there was a way to report to not take that road the way that we report hazards?",319,3.9713616874958086
503,South Africa,Best app to get shortest/fastest way to your destination \nThank you,68,3.9781646006997775
504,Australia,- terrified customer service \n- blocked tagging from first moment out of no where\n- its been week and no response to messages requesting to fix\n- fan club account unable to tag the main person whats the point \n- insta don't care to look into it or respons,259,4.124216469484494
505,Australia,whats happen Pinterest ??\nyou have lost all my saved pins since updating your app\nhow do i get back the thousands of ideas i have been collecting\nvery disappointed,166,4.229145868862351
506,Canada,Love pin ?�,11,3.277613436819116
507,Australia,Horrible app ! Super hard to navigate! Waste of space,53,4.083420162184492
508,India,Where in the world is the option for hiding an activity from timeline? It only shows unlike or delete it the activity log. Why it's been stripped down? Where are the tabs gone? Replying comments have agaon changed. What is happening?,233,4.22152245908506
509,Hong Kong,good app,8,2.5
510,Singapore,"Although I may not agree to its nonsensical warning of saturated fat every time I eat my favorite roasted pork belly, nevertheless, it's a great app. I can find most of the food's calories and that itself is a good assist which helped me keep an eye on my daily calories intake and attain my ideal weight.",305,4.153048782993398
511,India,No need of such updates. Of 212 MB Twice a week,47,4.1348217037372
512,Canada,It's so fantastic to share photos or videos to friends and it's so simple to use!\n C'est une app fantastic pour montrer des photos ou des vidéos à des amis et c'est vraiment simple d'utilisation! ?,198,4.048270456929072
513,South Africa,Awesome,7,2.5216406363433186
514,Canada,"You guys need to find a different way for ads in videos. Either before the video starts, or add a skip button you completely ruin the experience of watching a video someone has posted by stopping it a few minutes in for an add. As soon as the ad starts I lose interest in finishing the video.",292,4.120555685361614
515,Hong Kong,It said this video could not be sent. Please choose another video\n\nIn fact all videos are not able to send,108,3.9285343440018665
516,Canada,"I never write reviews but come on Facebook. You keep making making us download a new version and these new versions are shittier and shittier each time. Put the messenger thing back where it was, and take the friend requests out of the notifications. There should be 5 things at the bottom while I'm on Facebook. Not 3 ?",320,4.236634520103305
517,Singapore,"Best GPS app user friendly, clean design and clear directions",61,4.073356600740792
518,United Kingdom,I love this app but when you're viewing links the pin it button is covering a lot of the post making it impossible to read! Please fix this!,140,4.1639113158247305
519,Canada,Amazing app,11,3.095795255000934
520,Australia,"I like my photography and i like sharing my photos on Facebook but every time I try to add some photos into an album I've created the app freezes and doesn't let me upload my photos. Please fix this, it's causing grief for me \n\nAlso, the quality of profile pictures being uploaded is terrible",294,4.332106571007866
521,South Africa,"The newest version opens up on my iPhone but even after re-installing Pinterest in my iPad, it doesn't even want to open the app.",129,4.053624829698618
522,Australia,I Absolutly love instagram its my fav source of social media \nA tips to highly consider\n\nTo enable and edit/change the cover frame on an Instagram video once it's already uploaded?,183,4.299705704481113
523,United States,My favorite app. Has everything from food to clothes to crafts and everything in between.,89,4.168629500537692
524,Canada,La version premium vaut la peine. Je trouve ça génial !,55,4.0112097783193645
525,Hong Kong,Can't show the photo after update,33,3.703823484281863
526,South Africa,One of the messaging apps.,26,3.7192945256669794
527,United Kingdom,Doesn't get any better than this! Absolutely fab!!! Never leave reviews but this deserves one! Must have for any journeys. Recommending to everyone!,148,4.250853862284373
528,Canada,"Depuis environ deux mois j'ai perdu mes amis à droite, après quelques mises à jours ils ne sont jamais revenus...pouvez-vous m'aidez?",133,4.212475438333051
529,Hong Kong,I want the favourite contact list back!!!,41,3.9787879799112353
530,Australia,"Each update it's gets worse, the family and close friends tabs never show the people I have selected for these groups. All posts are not put in the news feed. The chat heads are gone on IOS.  can no longer see who is online with out searching for the person in messenger. The shopping option seems to only work for some people and I'm not on the those. And the story at the top... this isn't snap chat or instagram.",415,4.128084332125574
531,Australia,Really good I love it!,22,3.5726236638951634
532,United States,"Very easy to use and love all the features!  Plus, it's very accurate and reliable.",83,4.0165973750946495
533,India,Who made this update? Worst update ever...,42,3.8831727088441377
534,South Africa,"Although I have an onboard GPS plus various related apps installed on my iPhone and iPad, when I travel and require realtime assistance on what route will get me at my destination on time, WAZE remains my preferred choice. My most reliable, user friendly and up-to-date-to-the-moment travel companion!",301,4.373611256474632
535,Canada,...you Waze!,12,3.188721875540867
536,Canada,"Are you kidding me? You don't fill up my explore page with enough advertisements? Oh, not to mention the ones you slip in between stories. Moving to drop Instagram like Facebook.",178,4.361706838266116
537,Australia,"Messenger gone, no group search function.",41,3.867464591696112
538,Canada,Love this app. Guides you around traffic with all kinds of amazing tricks and secret routes. Discovered routes in my city I didn't know about! Never drive without it.,166,4.355407436013539
539,Singapore,great but no swift key on apple..can u install?,47,4.075657468606851
540,United States,"The boards make it so easy to save the pins by subject. When I need to shop for something, I can get back to one I need to refresh my memory. When I workout I can find the pin that lets me focus on my arms or abs. Great app!",224,4.169151312066494
541,India,Great app. Very useful. Please give apple watch support!!!!!!,61,4.093768281033195
542,United Kingdom,Helps me monitor my calorie intake and exercise,47,3.8720908427494707
543,United States,I use it mostly when I am driving by myself so I can't tag a lot of hazards and traffic but I greatly appreciate those who do.  I have used in different cities and in construction and it is always accurate!   Thank you for a great back!,236,4.2018623882565915
544,Canada,Cool app!,9,2.725480556997868
545,India,I getting issues in video ! And i hate that please inform and improve your app,78,4.025850625649792
546,India,"While opening any facebook page , application is automatically shutting down. I have latest version of app. Need help in this",125,4.223214788562605
547,United Kingdom,Normal direct messages are disappearing as sspn as i send them??? Fix asap,74,3.843928623628919
548,Hong Kong,Think twice before update! App keep crashing after latest update. Please fix !!,79,4.218691655703576
549,United States,I have gotten so many updates.. and it's unbelievable how I still can't change the color of my post or my background.. everybody else has it except me. It's really irritating.,175,4.29748710991733
550,Canada,"No more button for friend request. Also, you should put an update log",69,4.097391761553411
551,Australia,Been using waze for a while now so happy I found this to replace google maps,76,4.07305375254637
552,Australia,The new update doesn't allow me to search within my followers or following. Please fix this,91,4.148096779719729
553,Hong Kong,Good,4,1.5
554,United States,"Locked me OU tod my account bc my face wasn't totally looking at the camera like some psycho path, seriously? Fb is a joke",122,4.276476584689821
555,Hong Kong,Block ï¼Ÿ,9,3.169925001442312
556,Canada,Is there something wrong with facebook or its just my wifi? Because i cant scroll down any further in my news feed,114,4.174122934476164
557,India,Fringerprint security feature must be available in whatsapp,59,4.04332939012419
558,Hong Kong,"update app, Ip7 whatsapp icon 3D touch , ï½ž",44,4.044325652580698
559,South Africa,"My Facebook keeps crashing! It won't even open!!!!!!!!!!! \n Have serious work to do in it, very disappointed !!!!",114,4.171026339586582
560,Australia,Stop changing the look of Facebook! It's actually annoying. I don't like having my friend requests in my notifications and I don't like having my messenger button at the top,173,4.29451366344588
561,Singapore,Please fix it immidiatelly dont support a new vesion..my phone ios 7.,69,4.12882756911158
562,Singapore,"this update didnt do anything to me at all. i looked like its even worse than before. i can't upload videos but only pictures. my internet is literally fine but when i want to upload a video, it either says preparing which it didnt even prepare, instead it just loaded half way or no internet when my internet is perfectly fine. instagram, you need to fix this. its pissing off alot of instagram users",401,4.138862700181001
563,India,Alwayz stay tuned to app love it,32,3.8042292966721747
564,Canada,Great for setting up boards for ideas. Also love the animal humour stuff,72,4.085379134921592
565,Canada,"Update - support replied & said they're aware of this problem (stuck at Baby Wazer) but nothing they can do right now. Give me a break, this has been a problem for 2 years!!!! This is the 3rd time I've given this app a chance. \n \n Finally, someone else in support fixed my account.",283,4.501778613758815
566,Canada,Will not sync to my brand new charge HR... fix happens every update...,70,4.319736009796417
567,Australia,Stupid update. Can't like photos or comments in a thread. Still defaults to popular so it's the same every time I log on. Very boring.,134,4.244162763945312
568,South Africa,Wow! I cannot believe how Pinterest changed\n I love Pinterest and I couldn't complain!!,88,4.249788676853887
569,India,"Is there any need for regular update. Can't make a good app, . Better to use web version??",90,4.182890393484591
570,Canada,After being on the app for like 10 mins it closes itself down. My screen goes black and I'm back to my phone background. Please fix this. ï¿½,141,4.445784309902488
571,Canada,"Nothing will load, nothing is working and not only for me for all my friends too. I think it has something to do with the new update...",135,4.061674737920058
572,Singapore,Very reliable.,14,3.182005814760214
573,Hong Kong,whatsapp ï¼Œ google whatsappï¼Œ ã€‚,35,3.9292830169449666
574,India,Please decrease the aap size.. why u dont ubderstand the memory issue..countinuously size of the app is increasing..,116,4.157761253179491
575,Singapore,"When I went out to different places, the bad point is that I can't save a story until once I reached. This would save amounts of phone data. So I put moderate as it is good to share stories n feelings. Pls update this App which could save pictures or videos from phone gallery before uploading to the Instagram story by adding gallery button in it, thanks.",356,4.256257205852286
576,South Africa,Whatsapp keeps connecting and never connects- all my other apps are working so its not a internet connection problem ????????????????????? Please help,150,4.017225377201872
577,India,"Now after new updation, when some1 sends videos and it becomes group , its hang too much too open.. fix it..",108,4.15193758416332
578,South Africa,?ï¿½,4,2.0
579,India,In chat list last row hidden in 7+ iphone,41,3.857313589878403
580,Australia,"I can't believe anyone can give this app anymore than 3 stars. Used to be amazing when it was about you, friends and things you would like to follow. Unfortunately with the initial change of not having posts in chronological order completely ruining the experience until the recent update of have advertisements every 3 posts. I would understand them in the explore section but to have them in my feed makes it very hard to keep this app. I wish only that you could go back 6+ months to when it was the best and only app I would use. Hopefully we see some sort of new photo sharing app take your place now!",606,4.272271901010322
581,United States,"Great Ideas, Great Variety - Thank You!",39,4.089781950065051
582,India,Blah blah blah,14,2.502736171594004
583,South Africa,A great source for new ideas,28,3.72290749432188
584,India,Awsm to use,11,3.0957952550009344
585,Singapore,"Instagram started its update with the new logo, which was fine by me. Then it had the multiple accounts feature so I can switch between my accounts easily. However, what really ticks me off is that whenever I tag someone in a post, it will automatically send it as a DM to the person I tag unless I choose otherwise. I often criticize people in comments, and it keeps sending it as a DM. Now it looks like I'm looking for a fight with them.",440,4.241688817091537
586,United States,Instagram is fun and easy to use but its legitimately copying Snapchat. Personally this annoys me and should be stopped. They're both popular apps but having Instagram so desperately try to outdo and copy Snapchat is honestly getting irritating. I've stopped updating the app due to the annoying 'perks' which are exactly what Snapchat has. IG should just stay how it was as a photo sharing app and stop trying to compete. It's better off as something original than a cheap copy.,479,4.256857856211639
587,Singapore,"After the update my fb keeps on crashing!!! I can't even watch videos, can't open any page or any groups or else the app itself would crash! Not just that, whenever i updt status, when i type it became so slow + it would move the typing to other sentence!",255,4.248787483757692
588,South Africa,Please make the whatsapp status videos to be 1 minute long,58,3.955313601013075
589,United States,I must say this app with its dynamic info generated by the users has not let me down during why travels. And with every update it gets better,141,4.080834332404421
590,India,Not able to download pics/video/audio over wifi....please look into this.\n with mobile datapack everything is fine.,116,4.298781020076964
591,India,Tewqyij,7,2.8073549220576046
592,United States,Easy to use. Very helpful in tracking calorie intake.,53,4.13114327563696
593,Singapore,"I updated last night and now the app is crashing. Whenever I open it, it just shows blank screen and goes back to home screen. Tried restarting and switch off my phone a lot of times but nothing happened. Still the same. Need to fix this issue asap. Also re installed, it is still crashing. Please fix asap.",307,4.247167587155097
594,Australia,The app crashes every time I use it. I have to uninstall and reinstall to be able to use it each time. So frustrating,117,4.0424792112479055
595,India,What exactly Facebook updates in app? Every now and then I see app updates consuming hundreds of MBs data...\n Disappointing...,127,4.425970624387568
596,United States,I love IG helps with my catering company so much @dezontheforksandspoons follow me â¤ï¸,89,4.538838517363371
597,United Kingdom,:3,2,1.0
598,United States,Good,4,1.5
599,Hong Kong,ï¼Œ,3,1.584962500721156
600,India,Please Add option for changing fonts. Else it's the best application for social networking and helpful app for sharing photos and videos to family friends.,155,4.217491790852721
601,United Kingdom,Use all the time now.,21,3.5944656369614525
602,United States,Good Instagram,14,3.521640636343319
603,South Africa,Mark I get it. You want to buy everything but by doing that and then making them all alike is going to make those apps redundant. Whatsapp is a messaging up. We don't need live updates! Please bring back the contact list.,221,4.236554283856072
604,Hong Kong,The last update has disabled my iPhone's ability to upload photos to Facebook. The app freezes or quits itself. Frustrating,123,4.276071797436841
605,Canada,Good,4,1.5
606,Singapore,Love the entire app. Awesome!,29,3.840402546702506
607,United Kingdom,Very good app always works well no problems,43,3.8032310351248686
608,Canada,"Usually always runs smoothly, almost never experience anything bad or too glitchy.",82,4.259488776271837
609,Hong Kong,"contact,\n  down grade d!\n \n Poor update !!!\n I can't find my contact ,\n Not user friendly anymore !!!!",107,4.131689966948314
610,Hong Kong,"Cannot open the app after latest update, but it is ok now after restart iphone",78,3.8065958394281796
611,United States,Love it!!!! Use it every day!!,30,3.469576746316394
612,Australia,It's pretty good. Only exception is the hundreds of megabytes of updates it insists on updating a few times a week without any explanation.,139,4.188887718547811
613,United States,Use it frequently and is the best app out there for my needs.,61,3.9214188944434025
614,United States,You have swallowed my soul!,27,3.7360069464476564
615,United States,"When I hit a wall in terms of creativity this app helps get me focused, showing me suggestions that I would have never thought about",132,4.149202169775624
616,South Africa,Just great ?keep it up,22,3.4817145729860717
617,United States,Amazing app. Best part is constant updates by users & the trip planning!,72,4.0940219183516415
618,Australia,Once you have determined (from the picture shown) what you would like it is often difficult to get to the actual site or tutorial.,130,4.106881188025186
619,Hong Kong,Tab,3,1.584962500721156
620,Singapore,why did they remove the like feature?? BRING IT BACK,52,4.32177463214665
621,United States,They let these huge accounts post spam ads ALL THE TIME multiple accounts will post the same thing about dumb products that don't exist or are spam and when report them nothing happens. I guess you can say I loved the OLD instagram.,232,4.336337174034455
622,Hong Kong,Too many ad makes me feel sick,30,3.6062389286533896
623,United States,"I don't like that I searched for something (date is: 6/28/17) and that I can't see which PIN is the most popular/will give me the best results....! The whole reason I PIN is to get ideas/suggestions from those who have engaged in my query before ?.... \n \n Before 6/18/17....\n \n ...Easy to Navigate!\n \n I enjoy using my pinterest app all the time! I use it for recipes and crafts, and when I'm feeling motivated I use it for exercise tips and dream travel destinations. This app is so addictive!",500,4.542450395424025
624,Canada,After uploading videos Instagram distorts my file. Now they seem very muddy. Thanks Instagram for ruining great footage. No point in shooting in 1080p anymore\n \n Also my videos appear to be blurry. Also what up with this new update looks like everyone on instagram very excited about it haha\n \n Too many adds \n way too many fake accounts\n ruined my high quality video files,379,4.402807169618437
625,Hong Kong,"IOS10.3.1,\n  WhatsApp ï¼Œ ï¼Œ\n   , send \n  ï¼Œ",49,4.082601725469001
626,United Kingdom,Great app for saving time in london especially at peck times,60,3.9700072721324418
627,United Kingdom,"Honestly every single update is exactly what Snapchat has. Are you not capable of getting your own ideas?? Stop copying snapchat it's honestly so annoying. I used to like Instagram, now it's my least favourite social media app.",227,4.338360948538557
628,India,Whatsap doesnt support most of the emojis which is send to me from other andriod phones it's going on from past 3-4 months doesn't support new emojis work hard on it.,166,4.051565050877233
629,United Kingdom,I think its too much like Snapchat with the filters but I like it,65,3.877661024074886
630,Singapore,It's good no bugs glitches,26,3.767183467891461
631,United States,excellent,9,2.4193819456463714
632,Canada,WAY TOO MANY ADS NOW! Instagram is absolutely awful to use now that there's an ad every 5 photos. Completely wrecks the experience. HATE IT,139,4.684173131614999
633,India,Dear team in my phone whatsapp 3G calling not available so please do something to I use 3G calling in my whatsapp,113,4.104559959586759
634,Canada,Make an update where you can see who you've have a pending follow request with,78,4.0901327355963
635,Australia,Bring back chronological order!,31,3.80871969734407
636,Australia,It keeps crashing since the new update,38,3.7930798156766317
637,Singapore,I have updated the app to the latest version. Re-install it as well. Still no face filter on my story. Why is it certain accounts has this error? Appreciate if this error is fixed soon!,185,4.153560851087705
638,Hong Kong,ï¼\n  ã€lock,14,3.521640636343319
