pais;comentario
Canada;It kept popping up asking me to rate
Singapore;Super lousy FB for anyhow locked my account and request for photo for verification and then no response. And best no customer service to help fix the problem. Only some q n a that are totally not helpful!
Singapore;Couldn't see the list of trackers while doing the initial setting up. Pls do something abt it.
Australia;INSTAGRAM NEEDS TO GO BACK TO CHRONOLOGICAL ORDER!!! IM SICK OF LOOKIN LIKE A STALKER LIKER A POST FROM 5 DAYS AGO!!!
Hong Kong;WhatsApp
India;It nice apps but glti sy koi pic send ho jaa hai or vaps delete krni hai dono side sy to nhi ho rhi hai so..!
Singapore;100% best road companion. Waze will be perfect if it can also indicate the lanes to take. That could eliminate a lot of last min turnings.
Australia;I am enjoying using this app and it clearly makes me more conscious of what I eat and drink. Also happy with the link to my Fitbit.
India;Very sluggish app even on iPhone 7, just learn from your owned app Instagram.
Singapore;I Can't Open My Albums Now\n\nThe Cursor Keeps Going Round & Round\n\nIt Happened Since Yesterday - Saturday 3rd June Till Today 4th June.\n\nI Have Been Trying For 2 Days
India;Badly crashing
Australia;I like it. Pretty good.
Australia;Really love my Fitbit app. Easy to use, easy to set up. Excellent features and compatibility with other apps.\n\nHowever - would like to see compatibility with a cycle tracking app for women
United States;Only reason I'm giving Insta 4 stars vs 5 is because they copied Snapchats entire existence. Shame.
Hong Kong;1) Post \n2) tag ' post' ， ， 1 post ' ' \n\n !  ! !
United States;Love love love Pinterest.
South Africa;Don't like the new version at all. Can't see who pinned it.
United Kingdom;I love this app, I lost about 3 pounds in 2 weeks by the intake of 1500 calories and exercise per day. I love the barcode scanner and how Accurate the app is, definitely recommended to everyone! Amazing
United Kingdom;I run a business page for which the main bulk of my business is live feeds. Last night I had to restart 10 times due to Facebook either kicking me or my viewers off constantly. After 4 hours of nothing but problems from 3 devices and wifi and data I had to give up and let my customers down, you're now delaying me opening their oysters and sending out orders which in turn leaves my business looking unreliable. Not happy at all! How do I run a business like this??
Singapore;Internationally reliable maps and gps
United States;Way to go Pinterest, making another terrible update. Who thought removing the info of who pinned what pin on my feed was a good idea? I know! Your advertising department! Just another way you can push more ads without telling your user. I will be looking into alternative apps that don't shove advertising down users throats like you.
Hong Kong;！ ⋯⋯�
Singapore;chronological order PLEASE. Jesus.
Australia;So I just made an account but whenever I reopen the app it keeps coming back to the screen of recommended friends and won't let me change out of it could you please fix this soon
Hong Kong;Why one contact no.  is used in different devices at the same time. Why no recall messages feature. Perhaps, it is added multiple account or contact instead.\nP.S.: I don't think WhatsApp's staffs will read and improve those comments. Usually, they ignore.
Singapore;Like other users, encountering newsfeed images not loading properly recently
India;best app bt provide some more 3d touch features
Canada;Every damn time i send a picture to a group, my entire instagram crashes! When I open it, it goes straight to my home screen so I have to always delete it and reinstall every damn time! Please fix this!
Canada;Instagram was muuuuucccchhh better when my feed was in chronological order. I find it difficult to keep up with people when I don't see half of the posts. Please switch back to chronological
India;Cant see who sent requests or accepted it. Poor step in app!
Singapore;The latest filter kept blinking. Cannot detect my face.
United Kingdom;Love it!
India;I enjoy the service
Canada;Very helpful & informative.
United States;Never misses by more than 2 minutes. You could set your watch by it!
Hong Kong;post
United States;Which doesn't seem to be very often lately. When waze does work it is awesome, it gives live traffic updates and locations of road closures and police, all reported by other users. But it only does this when it can connect to the network. More often than not waze says Searching for Network in red at the top of the screen and all of the stuff that makes waze better doesn't work. This happens to me all time, even with full bars of 4G. There is no point to using waze if it doesn't work.
Singapore;o0o
Hong Kong;What's wrong with the app???\nIsn't the IT team actually wants us delete the app and start using other social media apps??
United States;Great app for getting around LA on sidestreets.
Australia;Love seeing all the images
United States;None of the videos have sound/music anymore :(  PLEASE FIX!!!
Hong Kong;
Australia;Stop refreshing the page every freaking time I open the app!! I am in the middle of writing a comment, switch to another app to check something for 5 seconds, come back and you deleted my entire comment and take me to the home page!! You are destroying this app. Not using it again until you fix this epidemic
United Kingdom;Top
United States;When posting multiple pictures in 1 post, why do all of the pictures have to be in Square mode??! I want to be able to see full pictures. Please change that. Thanks
Hong Kong;I can't share any post to Facebook!!!! I have checked all my settings are all right, but all my post on Instagram can't show on my Facebook wall, PLEASE FIX THIS ASAP!!! 😤😠😡💢
Hong Kong;I wonder if the search history function has gone. If so, I do hope you can bring it back for the next version (well, the sooner the better). That would be a lot more convenient to trace past messages with keywords! Thank you :)
Canada;I gave this app 5 stars because of its features
India;Very nice n love new features
United States;Well it won't let me post statuses or in any groups have to open an shut and it is so annoying !! Last update is crap , closes out and have to start over too !!! Frustrated !!!
Canada;Gets me to my destination no matter the traffic!
Hong Kong;？
South Africa;The app is amazing but for some reason me, and a lot of the people I live with, are having issues with the app (only today though), it won't allow us to send or receive messages, just letting you know (:
United States;My Facebook keeps freezing. And it's happening about 5-10 times a day. I have to quit the app and reopen it to get it in frozen. I have been keep the app up to date and just got a new phone and it still happening. It is quite annoying. \nAnd my feed is a day behind have the time. \nJust Frustrating!
South Africa;I updated to new version for ios it kick me out when i go in it cant even view anything fix this ASAP
India;Plz solve the problem of story
Singapore;I can't even load or even read and send message out . Why is all this unnecessary updates going on ? Isn't the last update better ? It's getting slower and also worst . I could not even reply and send message . How should I even suppose to do .
United States;- No self-destruct messages.\n- Can't save more than 5 photos/videos at once to Camera Roll.\n- Can't disable group/voice read receipts.\n- App freezes/stutters while downloading lots of media.\n- Video being played is interrupted once a background download finishes. VERY ANNOYING!!\n- Even after clearing up all chats, app still keeps lots of undeletable stuck data.\n- Can't clear all media and keep only text chats (no granular clear all chats).\n- No iPad / Apple Watch / iMessage support.\n- Can't backup only text to iCloud (no granular backup).\n- Swipe for media gallery shortcut removed.\n- Archived messages confusing implementation.\n- No background send from other apps (have to wait for the progress bar to complete).\n- Can't search inside individual chats.\n- Confusing all starred chats UI inside settings: make it like a regular group so we can have all the group features (mass share/save/select-
Hong Kong;I can't upload photos after the new update version!Please fix it!!!
India;The insta story clarity can be made better ..
Canada;Bien pratique !
Singapore;It may be convenient to reply to a message without access code, but it raises another security concern that anyone can reply messages without the consent of phone/ account owner. Hope Whatsapp builder can look into this security concern prudently.:)
Singapore;Hope more stable
India;I find the app quite user friendly and intuitive. I continue to face some niggles such as being unable to tag some of my closest friends, for which I am yet to find a solution. Would appreciate some support from Facebook to solve this issue.
India;The dm is glitchy and texts don't get sent plz resolve the problems\nSuch a famous social media and works like shitt plz resolve the problem
Hong Kong;up
Canada;Can't use my Pinterest on my iPad.  It just blinks and says cannot authorize.....fix it please
United Kingdom;Rubbish, says I have notifications but won't show me what they are.
United Kingdom;It's all you will ever need to get from A to B and back again. Stop reading this and download.
South Africa;Its okay �
India;Multiple photos must be updated to at least  20 photos at a time which will help me and other photographers to post their photo albums more easily
India;Loving it. Connecting with friends and family and other peoples !!
United Kingdom;Great navigation, correct every time.
United Kingdom;Great app
United Kingdom;Good but needs improving as gets a little boring
Hong Kong;iTunesStore ， ，
India;Very very very useful
Australia;Too many updates that aren't really helpful and now every few videos I watch completely freezes my phone to the point I can't do anything to get out of the app besides a hard reset. Please fix bugs before adding features.
Australia;Have been using Instagram for some years now. I have not had any problems with it. Always found it very easy to use and great fun. Easy to load pictures etc. It's a great app.
India;I am unable to share pic(s) from my photo gallery to any group or individual. This is happening right after updating to the current version. \nNot sure if this is only with my device.
United Kingdom;Decided to invest in some tech to help me achieve my healthier lifestyle choice goals following a heart attack. Went for Fitbit charge 2. Early days but experience so far:\n1. Easy to set up\n2. Easy to customise and makes you think about your goals with simple questions to establish a target\n3. Easy to read and well laid out dashboard, which is some achievement given volume of data.\n4. Some interesting tips and video links to help sustain motivation\n\nSo far, so good. Looks good as well.
Singapore;awsome apps
United States;5712497221
India;Stop updating it every week. Everything works well on my iPhone 7 plus except this app. Slowest app. Every now and then it keeps saying network error. The videos never load. I don't understand what's wrong with facebook. Please do something.
South Africa;A great app with lots of wonderful ideas and inspiration
United States;Impossible to turn off! It uses the gps even when not using the app. \nWith location services you have only two choices...always or never! What happened to  when using app?
United States;After latest update keep getting 1 badge icon notification but no messages or likes are present when I open the app.
Canada;The photo collage maker is helpful for me to use
Canada;Please allow me to see every post in chronological order and reduce the amount of ads. It's ridiculous and off-putting.
Australia;Very good app
South Africa;Highly recommended, really helps you get past bad traffic and find your way around. Definite worthwhile program!
Singapore;It says that I have too many accounts registered in my device.. but I only have two of them???
Hong Kong;Cannot check the followers
Australia;A Brain force phenomenon...but you already know that...probably �
India;Alright.
United States;Not sure what happened but my newsfeed will not load!
United States;We these updates I still don't like that I can't see the saved to other boards feature. That one really helped discover others boards and ideas easier. I used to like this app, no it's become something less than it's former self
United Kingdom;Every time I open a paged I have liked it crashes. Been like this for 6months now and after several updates it's still not been fixed!
United States;They kicked me out despite me showing them I'm 13 and I can't talk to a real person
United States;Really enjoy the alerts. \nWill it ever work with Apple Watch?\n\nI really enjoy Maps better. Alerts you with sufficient time to change Lanes unlike Waze. Also displays turn by turn on iWatch so you don't have to take your eyes off the road.
Canada;Small bug fixes please update. Love Instagram �
Hong Kong;Iphone6plus.  。 。
India;Good
Hong Kong;How come some sticker could not be use on iPhone 7 but appears on iphone7 plus in stories.
United Kingdom;Few apps seem to get worse, giant updates for unknown reasons, unclear what changes are, no visible improvement for user experience, continues to separate messaging and the main app for no real reason (especially dumb if you also have Facebook-owned Whatsapp). Time to delete forever?
Hong Kong;Can't post video!!!!!!!!!!!
Hong Kong;Cannot upload video
Canada;Can't play any video on my news feed, or otherwise. This app constantly breaks and I was considering giving up on Facebook altogether because of it, since you made it impossible to use Facebook on safari instead of these apps. However, I don't have the option to delete my account. I have forgotten my password on Facebook but remained logged in on the app. I don't have access to the email it tells me to get a code from and it doesn't give me any other option to deactivate or even change my password. I don't want my account up anymore, please fix the bugs instead of doing a new update every day to clear the bad reviews. Please let me delete my account.
India;The new algorithm is pathetic. Earlier the TL was time based. Now it's god knows what based. The reach of the post has been limited so that people are forced to promote their post. Facebook has started to ruin Instagram!!
Hong Kong;wifi  100MB     100MB  wifi
Hong Kong;When I choose 10 photo to upload on Instagram which happen unexpected quit. No matter how many time I have been try it still not working. \n\nPlease fix it.
United Kingdom;Excellent fitness watch and app
India;Instagram with the updated features (story,live etc) is awesome!! Loving it more than Facebook!! ☺🙂🙂✌🏼
Singapore;Very modern Design can be found here.good App to be use.Strongly support for this app
Australia;Excellent app. Easy to use. Excellent links to support and workouts.
India;Requiring too much data and network speed for content loading and for videos playing
Singapore;Help me whatsapp my whatsapp disappeared on my iphone (´༎ຶོρ༎ຶོ`)
Canada;J'adore cette apps
South Africa;New status update is the most annoying thing ever. GET. RID. OF. IT.
Canada;I think Instagram is awesome, it's a great way to connect with your friends and show them the cool things that you see and the things that are happening in your life
Hong Kong;Love it
Australia;the day the app reach 500Mb is the day I officially delete it from my idevice
India;Its getting automatically close while browsing chat everytime\nMy imp chat is being missed\nPlease help
Hong Kong;It's sooo annoying..
Hong Kong;1， ， ！
Singapore;Half the time the app just crashes and the other half of the time the app won't work properly but hey it's mark zucc so what can we expect
Australia;Instagram updated last night and now it won't open at all. I even deleted the App & reinstalled with the same result.
Australia;Any chance we'll get a dark theme any time soon? The all white theme kills my eyes at night.
Singapore;Please solve! Unable to refresh newsfeed
United States;Great app, highly suggest
United Kingdom;I'm getting an ad after every 3 posts. Surely this can't be right? I understand you need to make money, but this is just annoying! And there's no way to turn it off!? I'm going to delete the app if this doesn't change, my life is too short to waste it on pointless ads I don't want to see
Australia;Your app freezes when I open it every time. Cannot access ANYTHING
India;Be a group r folder of pics it's good update there should be another update required is send or forward the same group of pics So no need to select all photos again to send some one else.
United States;I am reluctant to spend time writing reviews. However this is hands down the most useful navigation app going.\nGet it?\nGot it.\nGood👍
Hong Kong;direct
United Kingdom;That app never let me down. Easy to use. You will not be disappointed
Canada;All my likes are gone!!�
Hong Kong;Not bad~ keep improving~ less weird than before~ �
Australia;So many improvements over time that are appreciated. Thoughtful dev work. Well done!
Hong Kong;post     ？
Canada;Depuis une quinzaine de jours le Scrabble va mal. Je ne peux pas jouer avec mes amis Facebook, sauf deux. J'ai tout essayé...je suis très déçue car je jouais très très souvent.\nPouvez-vous faire quelque chose? Merci!
Singapore;Can update to new version of follower and following to lastest follower/following at the top of the list for easy find
India;Sending photos in DM have become near to impossible as the photos automatically changes and the last sent photo replaces the most recently sent photo automatically and photo selection is also not working properly...and notification sound is something that is common with almost everyone on this version of the app.
Singapore;Hate the new algorithm
Australia;I love the new update but the problem is that there is a tiny bug. Every time i either follow or unfollow someone, the app freezes for about 2 seconds. This is very minor but it is very annoying if I'm either following or unfollowing a lot of people at the same time. Please fix this.
India;Add music share option to iphone version
United States;Facebook likes to suppress the freedom of speech also called the first amendment!!!!
United States;🐼❤️❤️❤️❤️🐽�
Australia;Very good so many ideas, I like crochet, gardening & lots more
Canada;Love
Canada;Takes up space
Singapore;After the latest update the ads appear more frequently, and that's really annoying.
Hong Kong;Story ！
Singapore;Whats app contact list is gone and it's not back yet even aft few updates. Pls do something about it! It's really not CONVENIENT AT ALL �
Canada;I can track everything so easily!! Very impressed.
Canada;The Apple Watch version of the app doesn't work at all, just says request timed out anytime I try to access my feed.
Canada;I've been driving the same route home from work for five years not doing it was a better way faster way to get home thanks to this app
India;After the add of grouping feature of images sent by a person, it's difficult to delete such grouped photos while deleting other single photos in a group chat. Please provide a feature to delete grouped photos
India;Amaze
Canada;I received my Blaze yesterday and I have to admit that it is much better than I was expecting. I find it's accuracy quite surprising and love the option of being able to calculate my water and food Intake through the Fitbit app. I have yet to tryout some of the challenges ....
India;Needs to pause music while playing video on instagram .
Hong Kong;... / ...
Canada;You can find all kinds of great ideas for all kinds of stuff.
Singapore;Hope to have full scale option even when we upload multiple photos, currently it doesn't even apply on all same orientation photos. \nThank you.
Australia;Drafts sometimes just disappear...
India;Please reduce the size of the app
United Kingdom;Takes up too much memory.. it's so annoying cause it's always like u need 100mb to use the app.. like I wanna talk to my friends!! They need to sort out how much memory they use it pisses me off..�
Hong Kong;Very lag
United Kingdom;Bought a week ago but only set up 2 days ago, so not yet had much experience. Struggled a little setting up. Seems ok when using but still getting used to. Find it a bit fiddly attaching the battery charger but that's just inexperience. Need to get to grasps with it, have the Alta HR model including making the battery last. Do find it interesting however to track steps. Would rate as good not yet convinced it's excellent but this rating could change with more familiarity
India;It's the best app I've used by far and my favourite too ❤️
Canada;Better now A little bit
Australia;Good for ideas over the extra bits got back to basic
India;Great
Canada;It's a really good app for instalikes none of them work but this one does! It's a great app! I had like4like 100 followers and now I'm growing even faster with this app recomend to people who need followers fast.
Singapore;Real good just that data needed to run is damn high
Singapore;I haven't been able to open my app since the last update.. help!
Hong Kong;
Australia;Used to love using and posting on Instagram \nI liked being able to scroll through in time order \nMost recently posted at the top and continue scrolling\nI hate the new update and don't want to see people posts from 4 days ago first...\n\nAt least give the option of choosing how the feed can be \nI'm sure some people like the layout but I do not and wish I could have post time order back.
South Africa;Great way to connect with people everywhere
Hong Kong;I cant search by name in follower and following column. And please set back the latest follower name at follower column. Thanks
Hong Kong;Loved it. Yet it shd stop having similar functions as snapchat lol
United Kingdom;Always telling me to refresh even tho my wifi good
United Kingdom;I have logged for over 820 days.  This site has helped me to lose weight, maintain the loss and be disciplined in keeping fit.  Before I always struggled to keep going. Now it's a way of life and I feel great!\nNow I am up to 1590 days. Still logging daily and keeping in shape.  It's so easy!
Singapore;Please update map as Keep give Long travel distance
India;So I am a food blogger with over 10,000 followers. According to the 'impressions' feature that Instagram has, my picture is just being shown to a 1000 followers. Despite complaining several times I am yet to receive a response. Seems like they don't think customer service is important.
South Africa;Iv'e tried to update for serveral months but need to change my Apple id everytime because when I want to update my id is disabled. I am turning into a Update monster. Nothing on your Webside will fix the problem. Will Whatsapp stop working! No stars!
Australia;I keep getting a notification that I can't like photos. It says my profile contains a link that isn't supported. Can you please fix this !!
Australia;Been great speaking to my dad in New Zealand I can't normally call often cause cause costs so much. Thanks
Singapore;I don't see any FB stories on my timeline....
Hong Kong;�
Australia;I have found the app very useful in helping me track my diet and travel on a (fairly) healthy road
Singapore;a group call feature would be awesome for the next update
Hong Kong;，
Singapore;New updates, fail to receive msg notifications.. pls fixed it.
Hong Kong;�
United Kingdom;Great wee app give users without pc/laptop the opportunity of moving into the 21st century . Allows live video from events which helps publicise things you never would have known existed ., easy to install easy to use . What are you waiting for don't waist precious time get it on your phone .
Singapore;Press and hold to quote messages to reply a particular message in conversation is difficult. Unable to get it most of the time. \n\nComparing to andriod, the message that user wish to quote will get highlighted and makes quoting easier. Can whatsapp look into this? Thks..
Canada;Love it
Canada;Since the newest update, my phone will go from 90% to 5% just trying to load the newsfeed. It crashed three times while trying to upload photos.
Canada;Keeps crashing.
Hong Kong;Why do all the stickers disappear? AND WHY CANT I USE THIS APP WHILE USING MY MOBILE DATA?(I've checked and I've allowed to use my mobile data for this app. I've tried to restart my phone for millions times and it doesn't work at all)
United States;Very reliable
India;Awesome
United States;I have had an issue with my suggested videos disappearing from under my current playing video. I reported the problem to Facebook and then did not contact me in anyway ever stating that they received my issue
United States;I don't think some reviewers understand that Wave's strength is based on it's members reporting traffic.  If you are trying to use it in a rural area or small town it doesn't work well because there are few wazers on the road.  I use it every day in Austin where traffic is notorious.  It is never off by more than 1 or 2 minutes.
Hong Kong;Great
Hong Kong;Can't link with Fitbit, can choose Fitbit Trackers, but still can't access\nI need to give up this app
Hong Kong;~ ~
United States;Amazing!!
United Kingdom;Why can't I tag more people after I've posted anymore?
Hong Kong;Nice
Canada;Keeps crashing every time I try to use the sound.
Australia;Very Entertaining
Canada;WoW Instagram ses super ?t même quand ta pas le réseau tu à droit à ta page d'accueil
Canada;I am being inundated with ads on Pinterest iPad app.  Many if which show partial nudity.  I am constantly hiding ads that I feel are inappropriate, but more ads appear the next time.  I won't let my kids browse Pinterest anymore, as I could be looking st cupcake recipes when suddenly swimsuit ads or panties ads appear.  No thanks.
United States;I now see an ad ever third picture, this is nuts. I think I would see less advertisement reading a magazine, could we limit them somehow please.
United Kingdom;All you need for quick and safe :) driving
Hong Kong;So annoying
Singapore;I have two accounts, and the archive option only works on the private one. It does not work on my main account. I have logged out and back in again, deleted and re-downloaded the app, but I'm still facing the same problem.
India;Bloody why do U guys update so many times?! Atleast tell us what the new additions or bug fixes like most other app dev does! Now this time apps broken and won't even open �
Canada;posts aren't in chronological order anymore. fix this. it's annoying.
India;Even after updating I can't see the face filter!! Quite strange
India;Image quality declines after sending
Singapore;Best app ever create!
Canada;notifications aren't working and it's super annoying having friend requests in the notification part holy hell
Singapore;I already update latest vision but Very slow when I check notifications\nEdited by 24/05/2017
Australia;so don't get me wrong, i love me some insta but i hate that i can't save hilarious videos that my friends send me on messages. the whole snapchat style 2 views max thing is mad annoying and sad ☹️ plz insta help me \nlove u tho x
United States;I use it everyday learn about new things and stay in touch wig people !! I
United States;Title says it all
United Kingdom;Use day in day out! Highly recommended.
Australia;It wont let me login at all? FIX THIS PLEASE
India;Hey whatsapp developer i request you to please provide whatsapp lock through which we can lock the app and dont allow any1 use that
United States;I love insta
Canada;Recent updates have enhanced Instagram.
Australia;Thanks.
United States;This is very useful for keep recipes, ideas for your house, party planning materials,  home decor, and much more. Love it
United Kingdom;Amazing apps, best to promote your business.
Hong Kong;，
Hong Kong;，
India;Unable to download photos and videos please solve the issue
India;Hello..! This is good app ever but we request you to put my contact function once again because we not able to find each contact and read thein status.. so please..!
South Africa;Why it takes so too long to update though?
Canada;I love ig but when I try and post photos, it crashes and I never get to post them
India;I just discovered a crash in app. In settings i was trying to change the language as i selected any language it gets crashed. I am using katest version in my iPhone 6 iOS 10.
Singapore;Been using it for years and idm the new changes like no more like button, rearranging the profile page where displays all our boards but one damn thing i wish you had is ZOOM\nLike how instagram can now zoom in on the pics, why cant i just pinch the image and zoom in and out\nPlease make that happen cause smtimes when i try to read and infographic its really hard to see and to save the image just to read it is a hassle and like smtimes when u try to open the link to the image its broken or it just can't load so would be helpful to have zoom
Singapore;Many times I refresh my news feed can't even see anything at all it just show no stories to show you I check my own profile can see my timeline only \nThis new update crate more problem
South Africa;Great app
Australia;Love instgram and the updates never seem to affect me :)) still going to keep posting and communicating with friends
United Kingdom;Innovative excellence
India;No comments.. as they are upto mark..
South Africa;First ever navigation app that's useful. Keep it up and let's be safe on the roads.
Australia;App keeps crashing when I try to view pages. So I tried to uninstall then reinstall. Now I can't download the app at all.
United States;Let me default my timeline to most recent. It was there before, just put it back.
United States;I can't post on my own page! This has been a problem for two weeks now. I keep reporting the problem but it has not been fixed. I have reinstalled and updated the app and tried to updated and restart my phone. Nothing works. Please fix this!!!! FB is pretty much useless for me right now!!!!
United States;Most days I've loved the app. These days I'm not getting my notices. Having to redownload every time I want my notices to know who the frack responds to anything I do.  Not any notices no matter what I do or how I refresh. I've even allowed Facebook to share on my phone and still it won't tell me which posts. Horse.
Australia;I love the app
Australia;Great....love it....and easy to use...still learning but Very Happy!
Singapore;There's a bug
Australia;New version is terrible...
Singapore;I really like it mostly now...
Singapore;Keeps crashing whenever I'm halfway editing my photos / videos to post
Hong Kong;, ,     ？
India;After latest update it hangs up too much.....
Australia;Stupid update I can't tag my friends on videos
South Africa;Best
Canada;Bring archives back
United States;Has a great database of foods the barcode scanner is also effective great way to make healthy choices daily
Canada;Très Plate quand notre petit Waze est rendu au niveau de l'épée et que notre bonhomme sur le profil reste un bouclier et ne change pas , même si l'indicateur dit que nous avons dépassé les\npoints......décevant serait apprécié de résoudre le problème \nNathaliespeedy70 ☹️
Canada;A couple things that are very frustrating: sometimes the app has a mind of its own, and will only show sleep quality for certain nights while mostly every night it shows sleeping stages. It never shows both every night, which I don't understand why. Another thing, I always have to edit my log. I don't understand why the Fitbit doesn't sync the entire night without my help. For the most part, the app does what it's suppose to. It needs an update though! There are bugs and issues.
South Africa;My latest version of WhatsApp is freezing and not allowing me to send messages
South Africa;Good stuff
United States;There's no need for this app to know where I am at all times. Creepy. Deleted it due to this requirement.
India;Fantastic app for my favourite pinterest. Thanks
Australia;I still don't have archive feature on instagram.....
